shd_fips,mrp_mean,mrp_sd,mrp_lower,mrp_upper,raw_mean,sample_size,abb,state,district,name,state_fips,pres_2012
2016,0.02475474,0.21517734,-0.334129204,0.4788524,-0.0328071,12,AK,Alaska,16,"State House District 16 (2012), Alaska",2,0.491682614
2017,0.106072945,0.235405152,-0.376461142,0.448933806,-0.123062915,13,AK,Alaska,17,"State House District 17 (2012), Alaska",2,0.533127639
2018,-0.026926659,0.199268151,-0.368813403,0.425795268,-0.163689677,19,AK,Alaska,18,"State House District 18 (2012), Alaska",2,0.582522863
2019,-0.409927243,0.196496512,-0.866780752,-0.031265886,-1.100508947,17,AK,Alaska,19,"State House District 19 (2012), Alaska",2,0.649146758
2020,0.041814241,0.20942239,-0.287653558,0.453486858,-0.028554311,15,AK,Alaska,20,"State House District 20 (2012), Alaska",2,0.641928658
2021,-0.092638251,0.166946369,-0.451442013,0.314067067,-0.302743078,18,AK,Alaska,21,"State House District 21 (2012), Alaska",2,0.516977822
2022,0.289893007,0.182139434,-0.101023385,0.684489125,0.621625653,21,AK,Alaska,22,"State House District 22 (2012), Alaska",2,0.404065574
2023,0.034142136,0.20146938,-0.377286643,0.464381219,0.092655858,8,AK,Alaska,23,"State House District 23 (2012), Alaska",2,0.453521574
2024,-0.076796559,0.21338601,-0.51144467,0.289943553,-0.358244033,16,AK,Alaska,24,"State House District 24 (2012), Alaska",2,0.386570296
2025,0.015834859,0.170921013,-0.314448254,0.383362601,0.279478716,25,AK,Alaska,25,"State House District 25 (2012), Alaska",2,0.444318182
2026,0.364005741,0.174900157,-0.037535641,0.703121036,0.632330126,25,AK,Alaska,26,"State House District 26 (2012), Alaska",2,0.391325837
2027,0.20631145,0.221337029,-0.238366754,0.589744305,-0.139545407,14,AK,Alaska,27,"State House District 27 (2012), Alaska",2,0.450048146
2028,0.014196251,0.210820441,-0.382487038,0.446570011,-0.288157591,10,AK,Alaska,28,"State House District 28 (2012), Alaska",2,0.425940065
2029,0.048939703,0.205009293,-0.32174766,0.490165223,0.012668699,15,AK,Alaska,29,"State House District 29 (2012), Alaska",2,0.271425012
2030,0.539905917,0.176955435,0.229321906,0.937017282,0.986483422,19,AK,Alaska,30,"State House District 30 (2012), Alaska",2,0.250356726
2031,0.014557741,0.166171798,-0.314134836,0.379799326,-0.05011274,23,AK,Alaska,31,"State House District 31 (2012), Alaska",2,0.389749972
2032,0.205880192,0.356327304,-0.353984428,0.732016774,-0.267034393,13,AK,Alaska,32,"State House District 32 (2012), Alaska",2,0.430776014
2033,-0.022310509,0.283968105,-0.387779309,0.475536369,-0.07236493,16,AK,Alaska,33,"State House District 33 (2012), Alaska",2,0.664426523
2034,0.410012299,0.197354445,-0.000903096,0.804133066,0.894211125,4,AK,Alaska,34,"State House District 34 (2012), Alaska",2,0.524785731
2035,0.125979296,0.194054908,-0.211771566,0.541460518,0.115631215,16,AK,Alaska,35,"State House District 35 (2012), Alaska",2,0.533235222
2036,0.481959061,0.23154628,-0.02444415,0.954850337,1.029847355,4,AK,Alaska,36,"State House District 36 (2012), Alaska",2,0.429286101
2037,0.236132003,0.272704994,-0.353042741,0.691166566,-1.835053068,2,AK,Alaska,37,"State House District 37 (2012), Alaska",2,0.579016681
2038,0.492909884,0.246130924,0.007712183,0.821634574,0.745578727,10,AK,Alaska,38,"State House District 38 (2012), Alaska",2,0.754881154
2039,0.289879285,0.300047942,-0.087599452,0.873259461,0.99811753,7,AK,Alaska,39,"State House District 39 (2012), Alaska",2,0.725378788
2040,0.348417553,0.253470152,-0.171301977,0.793038522,-0.342655766,3,AK,Alaska,40,"State House District 40 (2012), Alaska",2,0.671203438
4001,0.31086292,0.083073174,0.193277489,0.478837998,0.466413722,249,AZ,Arizona,1,"State House District 1 (2012), Arizona",4,0.305975947
4002,-0.019295665,0.088135717,-0.200438459,0.166486145,0.119350949,156,AZ,Arizona,2,"State House District 2 (2012), Arizona",4,0.579198457
4003,-0.377877948,0.08312061,-0.521320861,-0.21021822,-0.213704184,199,AZ,Arizona,3,"State House District 3 (2012), Arizona",4,0.71343863
4004,-0.031344037,0.114236838,-0.169644901,0.181877054,0.171854554,135,AZ,Arizona,4,"State House District 4 (2012), Arizona",4,0.551591324
4005,0.295037028,0.071447824,0.139994216,0.410345996,0.415762858,265,AZ,Arizona,5,"State House District 5 (2012), Arizona",4,0.286285853
4006,0.100862079,0.088155394,-0.068770129,0.251732027,0.198180611,215,AZ,Arizona,6,"State House District 6 (2012), Arizona",4,0.431687561
4007,0.156005444,0.206394634,-0.146431865,0.500385535,0.304395583,64,AZ,Arizona,7,"State House District 7 (2012), Arizona",4,0.641204812
4008,0.292700782,0.120073931,0.042286134,0.469244113,0.481724969,100,AZ,Arizona,8,"State House District 8 (2012), Arizona",4,0.455154202
4009,-0.254510239,0.082201757,-0.371948928,-0.09770341,-0.158342653,270,AZ,Arizona,9,"State House District 9 (2012), Arizona",4,0.542845508
4010,-0.234257374,0.062817433,-0.37444809,-0.116703767,-0.162454564,312,AZ,Arizona,10,"State House District 10 (2012), Arizona",4,0.527356948
4011,0.238499495,0.092184435,0.124539883,0.409198214,0.358622958,213,AZ,Arizona,11,"State House District 11 (2012), Arizona",4,0.402149773
4012,0.346107419,0.087581918,0.165517551,0.519531059,0.504626132,159,AZ,Arizona,12,"State House District 12 (2012), Arizona",4,0.330467183
4013,0.238860399,0.111428344,0.099584229,0.462575356,0.445983974,174,AZ,Arizona,13,"State House District 13 (2012), Arizona",4,0.339544268
4014,0.385537661,0.066039298,0.241133695,0.529737348,0.502918257,260,AZ,Arizona,14,"State House District 14 (2012), Arizona",4,0.36335828
4015,0.039614878,0.080217523,-0.129461553,0.169033514,0.064144945,215,AZ,Arizona,15,"State House District 15 (2012), Arizona",4,0.370563165
4016,0.274819308,0.074575491,0.125581644,0.427164833,0.421014615,229,AZ,Arizona,16,"State House District 16 (2012), Arizona",4,0.356838618
4017,0.045271914,0.109259951,-0.153341099,0.186472349,0.078126113,193,AZ,Arizona,17,"State House District 17 (2012), Arizona",4,0.427947405
4018,-0.181253795,0.071273664,-0.327798288,-0.047576365,-0.109415505,246,AZ,Arizona,18,"State House District 18 (2012), Arizona",4,0.490167303
4019,-0.034838011,0.110298476,-0.269623073,0.143950423,0.087868555,104,AZ,Arizona,19,"State House District 19 (2012), Arizona",4,0.674131798
4020,0.316230116,0.073652679,0.190432207,0.488418921,0.451663077,268,AZ,Arizona,20,"State House District 20 (2012), Arizona",4,0.434153439
4021,0.027780793,0.072938056,-0.107202391,0.166714502,0.179095926,271,AZ,Arizona,21,"State House District 21 (2012), Arizona",4,0.411659001
4022,0.342728596,0.070255242,0.189149892,0.451814205,0.487029896,286,AZ,Arizona,22,"State House District 22 (2012), Arizona",4,0.33838883
4023,0.300356141,0.067200861,0.172554589,0.445166839,0.361597779,256,AZ,Arizona,23,"State House District 23 (2012), Arizona",4,0.363658063
4024,-0.45776954,0.076416795,-0.607854515,-0.304297594,-0.410607858,209,AZ,Arizona,24,"State House District 24 (2012), Arizona",4,0.647667462
4025,0.347692984,0.085187675,0.170645014,0.453313138,0.412210319,254,AZ,Arizona,25,"State House District 25 (2012), Arizona",4,0.337387583
4026,-0.186843465,0.074188259,-0.325602478,-0.024692661,-0.087208991,199,AZ,Arizona,26,"State House District 26 (2012), Arizona",4,0.60229926
4027,-0.15788868,0.104379553,-0.323883242,0.067291022,-0.052871314,138,AZ,Arizona,27,"State House District 27 (2012), Arizona",4,0.763878625
4028,-0.154602604,0.068763205,-0.277952661,-0.007990843,-0.085253155,278,AZ,Arizona,28,"State House District 28 (2012), Arizona",4,0.454364424
4029,-0.17017969,0.096030223,-0.374387308,0.018226823,-0.107322221,115,AZ,Arizona,29,"State House District 29 (2012), Arizona",4,0.658285744
4030,-0.13924422,0.081746759,-0.292701906,0.042848161,-0.010041874,199,AZ,Arizona,30,"State House District 30 (2012), Arizona",4,0.625782679
5001,0.081033837,0.18120592,-0.315774968,0.379773112,0.359904581,18,AR,Arkansas,1,"State House District 1 (2012), Arkansas",5,0.376051714
5002,0.295611325,0.222957592,-0.156606899,0.61865036,0.306994193,21,AR,Arkansas,2,"State House District 2 (2012), Arkansas",5,0.221457924
5003,0.196276941,0.209343621,-0.166520198,0.640112727,0.866052716,10,AR,Arkansas,3,"State House District 3 (2012), Arkansas",5,0.367502961
5004,0.435333612,0.172492084,0.095570633,0.775736617,0.863895963,22,AR,Arkansas,4,"State House District 4 (2012), Arkansas",5,0.283254558
5005,0.058320545,0.229770838,-0.25112904,0.551799797,0.936207441,14,AR,Arkansas,5,"State House District 5 (2012), Arkansas",5,0.562938043
5006,0.208526869,0.196715804,-0.101744885,0.619437107,0.642286316,17,AR,Arkansas,6,"State House District 6 (2012), Arkansas",5,0.283985541
5007,-0.139954158,0.205881687,-0.417676713,0.298799372,-0.02519638,23,AR,Arkansas,7,"State House District 7 (2012), Arkansas",5,0.425866381
5008,-0.15068784,0.202657811,-0.521390597,0.259572655,-0.282779252,15,AR,Arkansas,8,"State House District 8 (2012), Arkansas",5,0.391929407
5009,-0.05654887,0.200092542,-0.478132716,0.367462425,-0.164583277,14,AR,Arkansas,9,"State House District 9 (2012), Arkansas",5,0.394331666
5010,-0.06405628,0.21162171,-0.506918709,0.312693172,-0.470365729,12,AR,Arkansas,10,"State House District 10 (2012), Arkansas",5,0.275216138
5011,0.140634969,0.237125491,-0.336964901,0.506475131,0.450756814,9,AR,Arkansas,11,"State House District 11 (2012), Arkansas",5,0.57079956
