Name,ElectionStatus,StatusOfCandidate,SpecificParty,GeneralParty,State,Year,ElectionType,Office,IncumbencyStatus,NumberOfRecords,TotalDollars
"MIZERA, CASIMIR A",LOST-GENERAL,LOST,REPUBLICAN,REPUBLICAN,CT,2010,STANDARD,HOUSE DISTRICT 121,CHALLENGER,3,"$25,759"
"MILLER, LAWRENCE G",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,CT,2010,STANDARD,HOUSE DISTRICT 122,INCUMBENT,2,"$25,755"
"THOMPSON, JOHN W",WON-GENERAL,WON,DEMOCRATIC,DEMOCRATIC,CT,2010,STANDARD,HOUSE DISTRICT 013,INCUMBENT,1,"$25,750"
"SPALLONE, JAMES FIELD",WON-GENERAL,WON,DEMOCRATIC,DEMOCRATIC,CT,2010,STANDARD,HOUSE DISTRICT 036,INCUMBENT,2,"$25,750"
"DAVIS, PAUL",WON-GENERAL,WON,DEMOCRATIC,DEMOCRATIC,CT,2010,STANDARD,HOUSE DISTRICT 117,INCUMBENT,2,"$25,750"
"OROURKE, JIM",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,CT,2010,STANDARD,HOUSE DISTRICT 032,INCUMBENT,2,"$25,747"
"CONROY, THERESA W",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,CT,2010,STANDARD,HOUSE DISTRICT 105,INCUMBENT,2,"$25,745"
"CARILLO, CRISTOPHER",LOST-GENERAL,LOST,REPUBLICAN,REPUBLICAN,CT,2010,STANDARD,HOUSE DISTRICT 024,CHALLENGER,2,"$25,725"
"BAKER, EILEEN D",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,CT,2010,STANDARD,HOUSE DISTRICT 023,CHALLENGER,3,"$25,708"
"SHARKEY, J BRENDAN",WON-GENERAL,WON,DEMOCRATIC,DEMOCRATIC,CT,2010,STANDARD,HOUSE DISTRICT 088,INCUMBENT,3,"$25,685"
"BRODER, JOE",LOST-GENERAL,LOST,REPUBLICAN,REPUBLICAN,CT,2010,STANDARD,HOUSE DISTRICT 048,CHALLENGER,3,"$25,679"
"RICHMAN, HOWARD",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,CT,2010,STANDARD,HOUSE DISTRICT 149,CHALLENGER,3,"$25,675"
"GARDOW, PETER E",LOST-GENERAL,LOST,REPUBLICAN,REPUBLICAN,CT,2010,STANDARD,HOUSE DISTRICT 028,CHALLENGER,2,"$25,670"
"NELSON JR, KEN",LOST-GENERAL,LOST,REPUBLICAN,REPUBLICAN,CT,2010,STANDARD,HOUSE DISTRICT 059,OPEN,3,"$25,664"
"LOFTUS III, WILLIAM P (BILL)",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,CT,2010,STANDARD,HOUSE DISTRICT 050,CHALLENGER,2,"$25,660"
"KNAPP, JACK",LOST-GENERAL,LOST,REPUBLICAN,REPUBLICAN,CT,2010,STANDARD,HOUSE DISTRICT 109,CHALLENGER,2,"$25,650"
"SZEWCZYK, JOHN",LOST-GENERAL,LOST,REPUBLICAN,REPUBLICAN,CT,2010,STANDARD,HOUSE DISTRICT 100,CHALLENGER,4,"$25,634"
"BARTLETT, JASON W",WON-GENERAL,WON,DEMOCRATIC,DEMOCRATIC,CT,2008,STANDARD,HOUSE DISTRICT 002,INCUMBENT,3,"$25,630"
"RINES, PETER L",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,ME,2008,STANDARD,SENATE DISTRICT 020,OPEN,5,"$25,604"
"KLARIDES, THEMIS",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,CT,2010,STANDARD,HOUSE DISTRICT 114,INCUMBENT,3,"$25,585"
"REEVES, PEGGY",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,CT,2010,STANDARD,HOUSE DISTRICT 143,INCUMBENT,5,"$25,585"
"NAFIS, SANDRA H",WON-GENERAL,WON,DEMOCRATIC,DEMOCRATIC,CT,2010,STANDARD,HOUSE DISTRICT 027,INCUMBENT,2,"$25,580"
"MORALES, ANGEL",LOST-PRIMARY,LOST,DEMOCRATIC,DEMOCRATIC,CT,2010,STANDARD,HOUSE DISTRICT 004,CHALLENGER,2,"$25,570"
"HEYMAN, JOSEPH",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,CT,2010,STANDARD,HOUSE DISTRICT 111,CHALLENGER,3,"$25,535"
"KEHOE, THOMAS J",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,CT,2010,STANDARD,HOUSE DISTRICT 031,INCUMBENT,2,"$25,532"
"JUTILA, EDWIN J",WON-GENERAL,WON,DEMOCRATIC,DEMOCRATIC,CT,2010,STANDARD,HOUSE DISTRICT 037,INCUMBENT,3,"$25,530"
"GENGA, HENRY J",WON-GENERAL,WON,DEMOCRATIC,DEMOCRATIC,CT,2010,STANDARD,HOUSE DISTRICT 010,INCUMBENT,3,"$25,525"
"ETRE, MARK",LOST-GENERAL,LOST,REPUBLICAN,REPUBLICAN,CT,2010,STANDARD,HOUSE DISTRICT 056,CHALLENGER,2,"$25,523"
"LUXENBERG, GEOFFREY R",WON-GENERAL,WON,DEMOCRATIC,DEMOCRATIC,CT,2010,STANDARD,HOUSE DISTRICT 012,OPEN,4,"$25,509"
"DEL MASTRO, PETER",LOST-GENERAL,LOST,REPUBLICAN,REPUBLICAN,CT,2010,STANDARD,HOUSE DISTRICT 079,CHALLENGER,2,"$25,508"
"OSTEN, CATHERINE A",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,CT,2010,STANDARD,HOUSE DISTRICT 047,CHALLENGER,2,"$25,504"
"WRIGHT, ELISSA T",WON-GENERAL,WON,DEMOCRATIC,DEMOCRATIC,CT,2010,STANDARD,HOUSE DISTRICT 041,INCUMBENT,3,"$25,496"
"BROWN, ELIZABETH",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,AZ,2018,STANDARD,SENATE DISTRICT 012,OPEN,1,"$25,493"
"ALVAREZ, JAIME",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,AZ,2018,STANDARD,SENATE DISTRICT 014,OPEN,1,"$25,493"
"CARMITCHEL, BENJAMIN (BEN)",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,AZ,2018,STANDARD,SENATE DISTRICT 016,CHALLENGER,1,"$25,493"
"NEZ MANUEL, DEBBIE",LOST-PRIMARY,LOST,DEMOCRATIC,DEMOCRATIC,AZ,2018,STANDARD,SENATE DISTRICT 026,CHALLENGER,1,"$25,493"
"PHELPS, TARA",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,AZ,2018,STANDARD,HOUSE DISTRICT 016,CHALLENGER,1,"$25,493"
"ADAMS, TALONYA",LOST-PRIMARY,LOST,DEMOCRATIC,DEMOCRATIC,AZ,2018,STANDARD,HOUSE DISTRICT 027,CHALLENGER,1,"$25,493"
