Name,ElectionStatus,StatusOfCandidate,SpecificParty,GeneralParty,State,Year,ElectionType,Office,IncumbencyStatus,NumberOfRecords,TotalDollars
"LYNCH, MARY ANN",LOST-PRIMARY,LOST,DEMOCRATIC,DEMOCRATIC,ME,2018,STANDARD,HOUSE DISTRICT 030,OPEN,2,"$2,524"
"BEAUDOIN, PAULETTE G",WON-GENERAL,WON,DEMOCRATIC,DEMOCRATIC,ME,2012,STANDARD,HOUSE DISTRICT 135,INCUMBENT,3,"$2,524"
"MAZZOTTA, GARY J",LOST-GENERAL,LOST,REPUBLICAN,REPUBLICAN,MN,2012,STANDARD,HOUSE DISTRICT 059B,OPEN,2,"$2,524"
"IMES, JACOB A",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,ME,2018,STANDARD,HOUSE DISTRICT 110,OPEN,1,"$2,523"
"PLUMMER, ALAN D",LOST-PRIMARY,LOST,DEMOCRATIC,DEMOCRATIC,ME,2018,STANDARD,HOUSE DISTRICT 088,OPEN,1,"$2,519"
"ALEXANDER, JEFF",LOST-GENERAL,LOST,REPUBLICAN,REPUBLICAN,HI,2006,STANDARD,SENATE DISTRICT 020,CHALLENGER,1,"$2,510"
"MOSES, MARK",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,HI,1998,STANDARD,HOUSE DISTRICT 042,INCUMBENT,1,"$2,500"
"ADAMS, HERBERT C",LOST-PRIMARY,LOST,DEMOCRATIC,DEMOCRATIC,ME,2016,STANDARD,HOUSE DISTRICT 040,OPEN,1,"$2,500"
"COUTURE, KELLY J",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,ME,2016,STANDARD,HOUSE DISTRICT 077,OPEN,1,"$2,500"
"GLEASON, CANDACE BOWER",LOST-PRIMARY,LOST,DEMOCRATIC,DEMOCRATIC,ME,2016,STANDARD,HOUSE DISTRICT 064,OPEN,1,"$2,500"
"GRAF JR, NEWELL B",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,ME,2016,STANDARD,HOUSE DISTRICT 107,OPEN,1,"$2,500"
"PURDY, KATHIE G",LOST-PRIMARY,LOST,DEMOCRATIC,DEMOCRATIC,ME,2016,STANDARD,HOUSE DISTRICT 015,OPEN,1,"$2,500"
"WILLIAMS, MELVIN J",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,ME,2016,STANDARD,HOUSE DISTRICT 091,OPEN,1,"$2,500"
"MURDOCK, KYLE BUCK",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,ME,2016,STANDARD,HOUSE DISTRICT 092,OPEN,1,"$2,500"
"HAMILTON, ROD",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,MN,2012,STANDARD,HOUSE DISTRICT 022B,INCUMBENT,2,"$2,500"
"KELLAR, ANNA LABRASCA",LOST-PRIMARY,LOST,DEMOCRATIC,DEMOCRATIC,ME,2016,STANDARD,HOUSE DISTRICT 040,OPEN,1,"$2,500"
"RICHARDS, KIMBERLY A",LOST-PRIMARY,LOST,DEMOCRATIC,DEMOCRATIC,ME,2016,STANDARD,HOUSE DISTRICT 002,OPEN,1,"$2,499"
"DOBSON, LAURIE G",LOST-PRIMARY,LOST,DEMOCRATIC,DEMOCRATIC,ME,2016,STANDARD,HOUSE DISTRICT 009,OPEN,1,"$2,499"
"DEVAL, PATRICK L& MURRAY, TIMOTHY P",WON-GENERAL,WON,DEMOCRATIC,DEMOCRATIC,MA,2010,STANDARD,GOVERNOR / LIEUTENANT GOVERNOR,OPEN,4,"$2,497"
"KROLICK, CLIFFORD TERRY",LOST-PRIMARY,LOST,DEMOCRATIC,DEMOCRATIC,ME,2018,STANDARD,HOUSE DISTRICT 021,OPEN,1,"$2,494"
"ROTTKOV, RICHARD",LOST-PRIMARY,LOST,DEMOCRATIC,DEMOCRATIC,ME,2018,STANDARD,HOUSE DISTRICT 032,OPEN,1,"$2,493"
"HEPLER, ALLISON L",LOST-PRIMARY,LOST,DEMOCRATIC,DEMOCRATIC,ME,2016,STANDARD,HOUSE DISTRICT 053,OPEN,1,"$2,493"
"SALTONSTALL, ELIZABETH",LOST-PRIMARY,LOST,DEMOCRATIC,DEMOCRATIC,ME,2016,STANDARD,HOUSE DISTRICT 094,OPEN,1,"$2,486"
"FABIAN, DAN",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,MN,2012,STANDARD,HOUSE DISTRICT 001A,INCUMBENT,2,"$2,478"
"BEAULIEU, MICHAEL GARY",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,ME,2010,STANDARD,HOUSE DISTRICT 068,INCUMBENT,3,"$2,477"
"LASEE, FRANK",LOST-GENERAL,LOST,REPUBLICAN,REPUBLICAN,WI,2008,STANDARD,ASSEMBLY DISTRICT 002,INCUMBENT,1,"$2,476"
"FURFARO, JAY",LOST-GENERAL,LOST,REPUBLICAN,REPUBLICAN,HI,1998,STANDARD,HOUSE DISTRICT 012,CHALLENGER,1,"$2,475"
"HILLS, CAITLIN",LOST-PRIMARY,LOST,DEMOCRATIC,DEMOCRATIC,ME,2018,STANDARD,HOUSE DISTRICT 097,OPEN,1,"$2,473"
"EDER, JOHN M",LOST-PRIMARY,LOST,DEMOCRATIC,DEMOCRATIC,ME,2018,STANDARD,HOUSE DISTRICT 012,OPEN,1,"$2,470"
"FUNG, PAUL",LOST-PRIMARY,LOST,DEMOCRATIC,DEMOCRATIC,HI,1998,STANDARD,HOUSE DISTRICT 026,OPEN,1,"$2,458"
"KUROIWA, JARED",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,HI,1998,STANDARD,HOUSE DISTRICT 026,OPEN,1,"$2,458"
"BOUCHARD, ROGER W",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,ME,2016,STANDARD,HOUSE DISTRICT 145,OPEN,1,"$2,455"
"STEVENS, MELISSA MAY",LOST-PRIMARY,LOST,DEMOCRATIC,DEMOCRATIC,ME,2016,STANDARD,HOUSE DISTRICT 059,OPEN,2,"$2,440"
"JAUCH, BOB",WON-GENERAL,WON,DEMOCRATIC,DEMOCRATIC,WI,2006,STANDARD,SENATE DISTRICT 025,INCUMBENT,1,"$2,425"
"LIPP, DANIEL",LOST-GENERAL,LOST,REPUBLICAN,REPUBLICAN,MN,2012,STANDARD,HOUSE DISTRICT 065A,CHALLENGER,2,"$2,396"
"LISCHEID, RONALD C",LOST-GENERAL,LOST,INDEPENDENCE,THIRD-PARTY,MN,2012,STANDARD,HOUSE DISTRICT 054A,OPEN,2,"$2,386"
"YAMANE, RYAN I",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,HI,2004,STANDARD,HOUSE DISTRICT 037,CHALLENGER,1,"$2,383"
"BOALS, JUSTIN",LOST-GENERAL,LOST,INDEPENDENT,THIRD-PARTY,MN,2012,STANDARD,HOUSE DISTRICT 035A,CHALLENGER,2,"$2,372"
"HARA, L MAKO",LOST-GENERAL,LOST,REPUBLICAN,REPUBLICAN,HI,1998,STANDARD,HOUSE DISTRICT 048,CHALLENGER,1,"$2,369"
"BOYNTON, MARY",LOST-GENERAL,LOST,DEMOCRATIC-FARMER-LABOR,DEMOCRATIC,MN,2000,STANDARD,HOUSE DISTRICT 048A,CHALLENGER,1,"$2,367"
"NICOLAS, FERNIE S",LOST-PRIMARY,LOST,DEMOCRATIC,DEMOCRATIC,HI,1998,STANDARD,HOUSE DISTRICT 042,OPEN,1,"$2,365"
"LEIGHTON JR, LLOYD E",LOST-PRIMARY,LOST,DEMOCRATIC,DEMOCRATIC,ME,2004,STANDARD,HOUSE DISTRICT 030,OPEN,2,"$2,359"
"CLARK, HAROLD",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,ME,2012,STANDARD,HOUSE DISTRICT 031,CHALLENGER,3,"$2,350"
"LASEE, FRANK",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,WI,2010,STANDARD,SENATE DISTRICT 001,OPEN,12,"$2,335"
"COOLIDGE, MAXWELL G",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,ME,2008,STANDARD,HOUSE DISTRICT 041,OPEN,2,"$2,330"
"THOMAS, JONATHAN",WON-GENERAL,WON,DEMOCRATIC,DEMOCRATIC,ME,2002,STANDARD,HOUSE DISTRICT 123,INCUMBENT,1,"$2,324"
"SMITH, ANDY",LOST-GENERAL,LOST,REPUBLICAN,REPUBLICAN,HI,2004,STANDARD,HOUSE DISTRICT 003,OPEN,1,"$2,305"
"MAHAR, DENNIS L",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,ME,2012,STANDARD,HOUSE DISTRICT 030,OPEN,4,"$2,293"
"LOPRESTI, MATTHEW",WON-GENERAL,WON,DEMOCRATIC,DEMOCRATIC,HI,2014,STANDARD,HOUSE DISTRICT 041,OPEN,2,"$2,290"
"KESSLER, CHRISTOPHER",LOST-GENERAL,LOST,UNENROLLED,THIRD-PARTY,ME,2012,STANDARD,HOUSE DISTRICT 122,CHALLENGER,3,"$2,282"
"SIMOND, RAYMOND H",LOST-PRIMARY,LOST,DEMOCRATIC,DEMOCRATIC,ME,2010,STANDARD,HOUSE DISTRICT 080,OPEN,3,"$2,276"
"ROSTBERG, JIM",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,MN,1996,STANDARD,HOUSE DISTRICT 018A,INCUMBENT,1,"$2,263"
"BULLENS, CYNTHIA",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,ME,2010,STANDARD,SENATE DISTRICT 011,CHALLENGER,3,"$2,244"
"HIRONO, MAZIE K& MATSUNAGA, MATT",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,HI,2002,STANDARD,GOVERNOR / LIEUTENANT GOVERNOR,OPEN,1,"$2,244"
"REAS, JUDY",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,WI,2008,STANDARD,ASSEMBLY DISTRICT 087,CHALLENGER,1,"$2,241"
"SILVA, GERARD I",LOST-PRIMARY,LOST,DEMOCRATIC,DEMOCRATIC,HI,2006,STANDARD,HOUSE DISTRICT 004,OPEN,2,"$2,230"
"GIESKE, TIM",LOST-GENERAL,LOST,INDEPENDENCE,THIRD-PARTY,MN,2013,SPECIAL,HOUSE DISTRICT 019A,OPEN,1,"$2,230"
"MOSES, MARK",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,HI,2004,STANDARD,HOUSE DISTRICT 040,INCUMBENT,1,"$2,226"
"NAKAYAMA, DARLENE",LOST-PRIMARY,LOST,DEMOCRATIC,DEMOCRATIC,HI,1998,STANDARD,HOUSE DISTRICT 018,CHALLENGER,1,"$2,218"
"POTI, LUANN M",LOST-GENERAL,LOST,REPUBLICAN,REPUBLICAN,HI,2014,STANDARD,HOUSE DISTRICT 035,CHALLENGER,1,"$2,214"
"MORIHARA, DAVID",WON-GENERAL,WON,DEMOCRATIC,DEMOCRATIC,HI,1998,STANDARD,HOUSE DISTRICT 010,INCUMBENT,1,"$2,196"
"HANNA, KURTIS",LOST-GENERAL,LOST,REPUBLICAN,REPUBLICAN,MN,2012,STANDARD,HOUSE DISTRICT 062A,CHALLENGER,2,"$2,193"
"TAKAI, KYLE MARK",WON-GENERAL,WON,DEMOCRATIC,DEMOCRATIC,HI,1998,STANDARD,HOUSE DISTRICT 034,INCUMBENT,1,"$2,192"
"LIEBL, ZACHARY",LOST-GENERAL,LOST,INDEPENDENCE,THIRD-PARTY,MN,2012,STANDARD,HOUSE DISTRICT 017B,CHALLENGER,2,"$2,187"
"PAJIMOLA, NORALYN BOLOSAN",LOST-PRIMARY,LOST,DEMOCRATIC,DEMOCRATIC,HI,2012,STANDARD,HOUSE DISTRICT 001,CHALLENGER,1,"$2,186"
"TOBIN, DAVID",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,ME,2002,STANDARD,HOUSE DISTRICT 039,INCUMBENT,1,"$2,173"
"MARTIN, JOHN L",WON-GENERAL,WON,DEMOCRATIC,DEMOCRATIC,ME,2008,STANDARD,HOUSE DISTRICT 001,OPEN,2,"$2,170"
"MCLEOD SR, EVERETT W",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,ME,2008,STANDARD,HOUSE DISTRICT 011,INCUMBENT,2,"$2,170"
"PINGREE, HANNAH M",WON-GENERAL,WON,DEMOCRATIC,DEMOCRATIC,ME,2008,STANDARD,HOUSE DISTRICT 036,INCUMBENT,3,"$2,170"
"PRIEST, CHARLES R",WON-GENERAL,WON,DEMOCRATIC,DEMOCRATIC,ME,2008,STANDARD,HOUSE DISTRICT 063,INCUMBENT,3,"$2,170"
"WHEELER SR, WALTER A",WON-GENERAL,WON,DEMOCRATIC,DEMOCRATIC,ME,2008,STANDARD,HOUSE DISTRICT 151,INCUMBENT,2,"$2,170"
"BABBIDGE, CHRISTOPHER W",WITHDREW-GENERAL,WITHDREW,DEMOCRATIC,DEMOCRATIC,ME,2008,STANDARD,HOUSE DISTRICT 141,INCUMBENT,2,"$2,170"
"EDGECOMB, PETER E",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,ME,2008,STANDARD,HOUSE DISTRICT 004,INCUMBENT,3,"$2,170"
"THERIAULT, CHARLES KENNETH",WON-GENERAL,WON,DEMOCRATIC,DEMOCRATIC,ME,2008,STANDARD,HOUSE DISTRICT 002,INCUMBENT,2,"$2,169"
"TUTTLE JR, JOHN L",WON-GENERAL,WON,DEMOCRATIC,DEMOCRATIC,ME,2008,STANDARD,HOUSE DISTRICT 143,INCUMBENT,2,"$2,169"
"SMITH, NANCY E",WON-GENERAL,WON,DEMOCRATIC,DEMOCRATIC,ME,2008,STANDARD,HOUSE DISTRICT 080,INCUMBENT,3,"$2,167"
"HOLMAN, DAVE",LOST-GENERAL,LOST,INDEPENDENCE,THIRD-PARTY,MN,2012,STANDARD,HOUSE DISTRICT 012A,OPEN,1,"$2,161"
"WIDLITZ, PATRICIA M",WON-GENERAL,WON,DEMOCRATIC,DEMOCRATIC,CT,2008,STANDARD,HOUSE DISTRICT 098,INCUMBENT,2,"$2,160"
"CROCKETT, PATSY GARSIDE",WON-GENERAL,WON,DEMOCRATIC,DEMOCRATIC,ME,2008,STANDARD,HOUSE DISTRICT 057,INCUMBENT,3,"$2,159"
"MARTINEZ, ROSE",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,HI,2016,STANDARD,HOUSE DISTRICT 040,CHALLENGER,1,"$2,140"
"BRYANT-DESCHENES, JOAN",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,ME,2002,STANDARD,HOUSE DISTRICT 075,OPEN,1,"$2,136"
"DOLTON, DAMON",LOST-GENERAL,LOST,REPUBLICAN,REPUBLICAN,MN,2010,STANDARD,HOUSE DISTRICT 055B,CHALLENGER,3,"$2,135"
"PA ALUHI, MARC K",LOST-GENERAL,LOST,REPUBLICAN,REPUBLICAN,HI,2016,STANDARD,HOUSE DISTRICT 044,OPEN,1,"$2,126"
"STENBREG, ADAM",LOST-GENERAL,LOST,REPUBLICAN,REPUBLICAN,MN,2000,STANDARD,HOUSE DISTRICT 060B,OPEN,1,"$2,124"
"CAIN, EMILY ANN",WON-GENERAL,WON,DEMOCRATIC,DEMOCRATIC,ME,2008,STANDARD,HOUSE DISTRICT 019,INCUMBENT,2,"$2,120"
"GUTIERREZ, LYNNE V",LOST-PRIMARY,LOST,DEMOCRATIC,DEMOCRATIC,HI,2012,STANDARD,HOUSE DISTRICT 031,OPEN,1,"$2,115"
"CAREY, MICHAEL E",WON-GENERAL,WON,DEMOCRATIC,DEMOCRATIC,ME,2012,STANDARD,HOUSE DISTRICT 072,INCUMBENT,3,"$2,105"
"HALE, HELENE H",WON-GENERAL,WON,DEMOCRATIC,DEMOCRATIC,HI,2002,STANDARD,HOUSE DISTRICT 004,INCUMBENT,3,"$2,100"
"KARAMATSU, JON RIKI",WON-GENERAL,WON,DEMOCRATIC,DEMOCRATIC,HI,2002,STANDARD,HOUSE DISTRICT 041,OPEN,1,"$2,076"
"ANDERSON, STEVE",LOST-GENERAL,LOST,INDEPENDENT,THIRD-PARTY,MN,2000,STANDARD,SENATE DISTRICT 062,OPEN,2,"$2,065"
"OTT, ALVIN",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,WI,2004,STANDARD,ASSEMBLY DISTRICT 003,INCUMBENT,1,"$2,063"
"KOTHE, GLEN",LOST-GENERAL,LOST,INDEPENDENT,THIRD-PARTY,MN,2000,STANDARD,HOUSE DISTRICT 050A,CHALLENGER,1,"$2,055"
"SOUTHWORTH SR, WARREN DANA",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,ME,2008,STANDARD,HOUSE DISTRICT 041,OPEN,2,"$2,055"
"MELARAGNO, GINA",WON-GENERAL,WON,DEMOCRATIC,DEMOCRATIC,ME,2018,STANDARD,HOUSE DISTRICT 062,INCUMBENT,2,"$2,025"
"SHARP JR, WILLIAM",LOST-GENERAL,LOST,REPUBLICAN,REPUBLICAN,HI,1998,STANDARD,HOUSE DISTRICT 019,CHALLENGER,1,"$2,023"
"FERNALD, KELLY THOMPSON",WITHDREW-GENERAL,WITHDREW,GREEN INDEPENDENT,THIRD-PARTY,ME,2002,STANDARD,SENATE DISTRICT 027,CHALLENGER,1,"$2,019"
"DUNPHY, LARRY CHARLES",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,ME,2014,STANDARD,HOUSE DISTRICT 118,INCUMBENT,3,"$2,012"
"ALEXANDER, JEFF",LOST-PRIMARY,LOST,DEMOCRATIC,DEMOCRATIC,HI,2004,STANDARD,HOUSE DISTRICT 043,CHALLENGER,2,"$2,000"
"HALFORD, CHRIS",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,HI,2000,STANDARD,HOUSE DISTRICT 011,INCUMBENT,1,"$2,000"
"TUCKER, RALPH L",WON-GENERAL,WON,DEMOCRATIC,DEMOCRATIC,ME,2016,STANDARD,HOUSE DISTRICT 050,INCUMBENT,5,"$2,000"
"HANINGTON, SHELDON MARK",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,ME,2014,STANDARD,HOUSE DISTRICT 142,OPEN,3,"$1,997"
"CAJERO BEDFORD, OLIVIA",WON-GENERAL,WON,DEMOCRATIC,DEMOCRATIC,AZ,2010,STANDARD,SENATE DISTRICT 027,OPEN,3,"$1,996"
"MARTIN, JOHN L",WON-GENERAL,WON,DEMOCRATIC,DEMOCRATIC,ME,2016,STANDARD,HOUSE DISTRICT 151,INCUMBENT,3,"$1,991"
"HALE, HELENE H",WON-GENERAL,WON,DEMOCRATIC,DEMOCRATIC,HI,2004,STANDARD,HOUSE DISTRICT 004,INCUMBENT,3,"$1,986"
"TAKAMINE, DWIGHT Y",WON-GENERAL,WON,DEMOCRATIC,DEMOCRATIC,HI,2004,STANDARD,HOUSE DISTRICT 001,INCUMBENT,21,"$1,978"
"TRIGLIA, DENNIS",LOST-GENERAL,LOST,LIBERTARIAN,THIRD-PARTY,HI,2004,STANDARD,HOUSE DISTRICT 004,CHALLENGER,2,"$1,978"
"BEIRNE, D ULULANI",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,HI,2012,STANDARD,HOUSE DISTRICT 047,OPEN,1,"$1,965"
"FARNSWORTH, RICHARD R",WON-GENERAL,WON,DEMOCRATIC,DEMOCRATIC,ME,2016,STANDARD,HOUSE DISTRICT 037,INCUMBENT,5,"$1,939"
"RAISBECK, SARAH SALLY",LOST-PRIMARY,LOST,DEMOCRATIC,DEMOCRATIC,HI,1998,STANDARD,HOUSE DISTRICT 008,CHALLENGER,1,"$1,934"
"GROSE, CAROL ANN",WON-GENERAL,WON,DEMOCRATIC,DEMOCRATIC,ME,2002,STANDARD,HOUSE DISTRICT 055,OPEN,1,"$1,932"
"SANTIAGO, ALEXANDER",WON-GENERAL,WON,DEMOCRATIC,DEMOCRATIC,HI,1998,STANDARD,HOUSE DISTRICT 045,INCUMBENT,1,"$1,922"
"ERICKSON, JEFF",LOST-GENERAL,LOST,INDEPENDENT,THIRD-PARTY,MN,2000,STANDARD,HOUSE DISTRICT 047A,CHALLENGER,1,"$1,920"
"LOPES, PHIL",WON-GENERAL,WON,DEMOCRATIC,DEMOCRATIC,AZ,2004,STANDARD,HOUSE DISTRICT 027,INCUMBENT,1,"$1,920"
"DUNLEAVY, JAMES P",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,ME,2002,STANDARD,SENATE DISTRICT 002,CHALLENGER,1,"$1,919"
"WEBSTER, DAVID C",WON-GENERAL,WON,DEMOCRATIC,DEMOCRATIC,ME,2010,STANDARD,HOUSE DISTRICT 106,INCUMBENT,3,"$1,913"
"HAMANN, SCOTT",WON-GENERAL,WON,DEMOCRATIC,DEMOCRATIC,ME,2016,STANDARD,HOUSE DISTRICT 032,INCUMBENT,4,"$1,908"
"ROTUNDO, MARGARET R",WON-GENERAL,WON,DEMOCRATIC,DEMOCRATIC,ME,2014,STANDARD,HOUSE DISTRICT 059,INCUMBENT,4,"$1,895"
"ING, KANIELA",WON-GENERAL,WON,DEMOCRATIC,DEMOCRATIC,HI,2012,STANDARD,HOUSE DISTRICT 011,CHALLENGER,1,"$1,895"
"OSHIRO, MARCUS R",WON-GENERAL,WON,DEMOCRATIC,DEMOCRATIC,HI,1998,STANDARD,HOUSE DISTRICT 040,INCUMBENT,1,"$1,887"
"MARTIN, JOHN L",WON-GENERAL,WON,DEMOCRATIC,DEMOCRATIC,ME,2010,STANDARD,HOUSE DISTRICT 001,INCUMBENT,3,"$1,878"
"TETREV, RICHARD H",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,ME,2002,STANDARD,HOUSE DISTRICT 055,OPEN,1,"$1,866"
"GREELY, MIKE",LOST-GENERAL,LOST,NONPARTISAN,NONPARTISAN,MT,1990,STANDARD,SUPREME COURT-002,OPEN,1,"$1,864"
"HINCK, JON W",WON-GENERAL,WON,DEMOCRATIC,DEMOCRATIC,ME,2010,STANDARD,HOUSE DISTRICT 118,INCUMBENT,3,"$1,855"
"CHAPMAN, CHESTER H",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,ME,2000,STANDARD,HOUSE DISTRICT 045,OPEN,4,"$1,850"
"FRENZEL, ALLEN (AL)",LOST-GENERAL,LOST,LIBERTARIAN,THIRD-PARTY,HI,2014,STANDARD,HOUSE DISTRICT 044,CHALLENGER,1,"$1,839"
"BRYANT, BRUCE",WON-GENERAL,WON,DEMOCRATIC,DEMOCRATIC,ME,2002,STANDARD,SENATE DISTRICT 024,OPEN,1,"$1,837"
"CABANILLA ARAKAWA, RIDA (T R)",WON-GENERAL,WON,DEMOCRATIC,DEMOCRATIC,HI,2008,STANDARD,HOUSE DISTRICT 042,INCUMBENT,1,"$1,823"
"TANGONAN, WILFRED",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,HI,1998,STANDARD,HOUSE DISTRICT 032,CHALLENGER,1,"$1,814"
"LISCHEID, RONALD C",LOST-GENERAL,LOST,INDEPENDENT,THIRD-PARTY,MN,2000,STANDARD,HOUSE DISTRICT 063A,CHALLENGER,1,"$1,812"
"WILSON, CHARLENE",LOST-PRIMARY,LOST,DEMOCRATIC,DEMOCRATIC,HI,1998,STANDARD,HOUSE DISTRICT 046,OPEN,1,"$1,811"
"TRIEWEILER, TERRY N",WON-GENERAL,WON,NONPARTISAN,NONPARTISAN,MT,1990,STANDARD,SUPREME COURT-002,OPEN,1,"$1,809"
"MCCREIGHT, JOYCE",WON-GENERAL,WON,DEMOCRATIC,DEMOCRATIC,ME,2016,STANDARD,HOUSE DISTRICT 051,INCUMBENT,6,"$1,805"
"DUNPHY, LARRY CHARLES",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,ME,2012,STANDARD,HOUSE DISTRICT 088,INCUMBENT,3,"$1,803"
"STOVALL, RICHARD",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,ME,2012,STANDARD,HOUSE DISTRICT 090,CHALLENGER,3,"$1,794"
"BEHRENS, MARGARET",LOST-GENERAL,LOST,INDEPENDENT,THIRD-PARTY,MN,2000,STANDARD,HOUSE DISTRICT 053B,OPEN,2,"$1,793"
"BENNETT, RICHARD A",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,ME,2000,STANDARD,SENATE DISTRICT 025,INCUMBENT,1,"$1,785"
"NICOLAS, FERNIE S",LOST-PRIMARY,LOST,DEMOCRATIC,DEMOCRATIC,HI,2010,STANDARD,HOUSE DISTRICT 041,OPEN,1,"$1,780"
"LAJOIE, MICHEL",WON-GENERAL,WON,DEMOCRATIC,DEMOCRATIC,ME,2010,STANDARD,HOUSE DISTRICT 071,INCUMBENT,3,"$1,773"
"ASHFORD, MICHAEL D",WON-GENERAL,WON,DEMOCRATIC,DEMOCRATIC,OH,2016,STANDARD,HOUSE DISTRICT 044,INCUMBENT,1,"$1,760"
"HOFF, JOHN R",LOST-GENERAL,LOST,REPUBLICAN,REPUBLICAN,HI,1998,STANDARD,HOUSE DISTRICT 014,CHALLENGER,2,"$1,742"
"DAOANG-CHEW, MEL",LOST-GENERAL,LOST,REPUBLICAN,REPUBLICAN,HI,1998,STANDARD,HOUSE DISTRICT 028,CHALLENGER,1,"$1,741"
"EVANS, DENN J",LOST-GENERAL,LOST,INDEPENDENT,THIRD-PARTY,MN,2000,STANDARD,HOUSE DISTRICT 060B,OPEN,2,"$1,710"
"NAKAMITSU, DANIEL",LOST-GENERAL,LOST,REPUBLICAN,REPUBLICAN,HI,1998,STANDARD,HOUSE DISTRICT 037,CHALLENGER,1,"$1,700"
"SAVIELLO, THOMAS B",WON-GENERAL,WON,DEMOCRATIC,DEMOCRATIC,ME,2002,STANDARD,HOUSE DISTRICT 077,OPEN,1,"$1,700"
"JORGENSEN, ERIK CLARK",WON-GENERAL,WON,DEMOCRATIC,DEMOCRATIC,ME,2016,STANDARD,HOUSE DISTRICT 041,INCUMBENT,3,"$1,684"
"LOPRESTI, MATTHEW",LOST-PRIMARY,LOST,DEMOCRATIC,DEMOCRATIC,HI,2012,STANDARD,HOUSE DISTRICT 041,CHALLENGER,1,"$1,675"
"GOLOJUCH, CAROLYN MARTINEZ",LOST-PRIMARY,LOST,NONPARTISAN,NONPARTISAN,HI,2006,STANDARD,BOARD OF EDUCATION DISTRICT OAHU AT LARGE,CHALLENGER,1,"$1,660"
"AWANA, KAREN LEINANI",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,HI,2014,STANDARD,HOUSE DISTRICT 043,INCUMBENT,1,"$1,660"
"FLEMINGS, ELSPETH M",WON-GENERAL,WON,DEMOCRATIC,DEMOCRATIC,ME,2010,STANDARD,HOUSE DISTRICT 035,INCUMBENT,4,"$1,657"
"BIMBO, GENARO Q",LOST-PRIMARY,LOST,DEMOCRATIC,DEMOCRATIC,HI,2004,STANDARD,HOUSE DISTRICT 042,CHALLENGER,1,"$1,656"
"FONOIMOANA, KENT K",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,HI,2014,STANDARD,HOUSE DISTRICT 047,OPEN,1,"$1,625"
"TORIGOE, CHARLES",LOST-PRIMARY,LOST,DEMOCRATIC,DEMOCRATIC,HI,1998,STANDARD,HOUSE DISTRICT 022,CHALLENGER,1,"$1,612"
"YAMANE, BRIAN Y",LOST-PRIMARY,LOST,DEMOCRATIC,DEMOCRATIC,HI,2012,STANDARD,HOUSE DISTRICT 019,OPEN,1,"$1,605"
"AUWAE, EMILY J DANIEL",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,HI,1998,STANDARD,HOUSE DISTRICT 044,CHALLENGER,1,"$1,600"
"CROCKETT, CHARMAINE",LOST-PRIMARY,LOST,DEMOCRATIC,DEMOCRATIC,HI,2006,STANDARD,HOUSE DISTRICT 030,OPEN,1,"$1,585"
